team A,team B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground
MI,CSK,CSK,668.8,612.2,563.4,646.6,0.571428571,0.640449438,42,47,0.507,0.361,696.8333333,741.55,0.61,0.39,home,away
DC,KXIP,KXIP,654.8,607,650,525,0.466666667,0.432098765,57,52,-0.23,-0.26,582.0833333,629.875,0.41,0.59,home,away
SRH,RCB,RCB,669.6,614,675.8,654,0.5,0.50617284,53,47,0.486,-0.589,734.5,701.4166667,0.57,0.43,home,away
RR,CSK,RR,614.2,612.2,617.6,646.6,0.525,0.640449438,45,46,-0.093,0.361,649.85,741.55,0.33,0.67,home,away
KKR,MI,MI,583.4,668.8,618,563.4,0.576086957,0.571428571,42,45,0.6,0.507,668.0416667,696.8333333,0.24,0.76,home,away
KXIP,RCB,RCB,607,614,525,654,0.432098765,0.50617284,47,48,-0.26,-0.589,629.875,701.4166667,0.5,0.5,home,away
CSK,DC,CSK,612.2,654.8,646.6,650,0.640449438,0.466666667,44,48,0.361,-0.23,741.55,582.0833333,0.67,0.33,home,away
KKR,SRH,KKR,583.4,669.6,618,675.8,0.576086957,0.5,46,49,0.6,0.486,668.0416667,734.5,0.59,0.41,home,away
RR,KXIP,RR,614.2,607,617.6,525,0.525,0.432098765,50,45,-0.093,-0.26,649.85,629.875,0.43,0.47,home,away
RCB,MI,RCB,614,668.8,654,563.4,0.50617284,0.571428571,44,46,-0.589,0.507,701.4166667,696.8333333,0.36,0.64,home,away
DC,SRH,SRH,654.8,669.6,650,675.8,0.466666667,0.5,48,55,-0.23,0.486,582.0833333,734.5,0.33,0.67,home,away
RR,KKR,KKR,614.2,583.4,617.6,618,0.525,0.576086957,45,43,-0.093,0.6,649.85,668.0416667,0.5,0.5,home,away
KXIP,MI,MI,607,668.8,525,563.4,0.432098765,0.571428571,45,48,-0.26,0.507,629.875,696.8333333,0.46,0.54,home,away
CSK,SRH,CSK,612.2,669.6,646.6,675.8,0.640449438,0.5,46,49,0.361,0.486,741.55,734.5,0.75,0.25,home,away
RCB,RR,RCB,614,614.2,654,617.6,0.50617284,0.525,48,38,-0.589,-0.093,701.4166667,649.85,0.44,0.56,home,away
DC,KKR,DC,654.8,583.4,650,618,0.466666667,0.576086957,51,39,-0.23,0.6,582.0833333,668.0416667,0.38,0.62,home,away
MI,SRH,SRH,668.8,669.6,563.4,675.8,0.571428571,0.5,41,44,0.507,0.486,696.8333333,734.5,0.5,0.5,home,away
KXIP,CSK,KXIP,607,612.2,525,646.6,0.432098765,0.640449438,49,47,-0.26,0.361,629.875,741.55,0.57,0.43,home,away
RCB,DC,DC,614,654.8,654,650,0.50617284,0.466666667,54,60,-0.589,-0.23,701.4166667,582.0833333,0.7,0.3,home,away
MI,RR,MI,668.8,614.2,563.4,617.6,0.571428571,0.525,44,42,0.507,-0.093,696.8333333,649.85,0.5,0.5,home,away
KKR,CSK,CSK,583.4,612.2,618,646.6,0.576086957,0.640449438,43,45,0.6,0.361,668.0416667,741.55,0.35,0.65,home,away
SRH,KXIP,SRH,669.6,607,675.8,525,0.5,0.432098765,48,49,0.486,-0.26,734.5,629.875,0.71,0.29,home,away
RR,DC,RR,614.2,654.8,617.6,650,0.525,0.466666667,41,54,-0.093,-0.23,649.85,582.0833333,0.61,0.39,home,away
