,A,B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner
0,4,9,1,0.28500000000000014,0.21750000000000003,0.7129186602870813,0.30980861244019137,0.0,0.0,0.6133333333333333,0.24761904761904763,-0.147,-1.16,0.5364963503649636,0.5396246089676747,0.0,0.0,0,1,0
1,0,6,0,0.9625000000000001,0.9550000000000003,0.5143540669856459,0.4832535885167464,0.0,0.0,0.5066666666666666,0.6000000000000001,-0.192,0.509,0.7090719499478624,0.7580813347236706,0.0,0.0,0,0,0
2,11,1,0,0.55,0.28500000000000014,0.5227272727272727,0.5454545454545454,0.0,0.0,0.3333333333333333,0.5238095238095238,0.632,0.342,0.9562043795620438,0.5396246089676747,0.0,0.0,0,0,1
3,7,9,0,0.3350000000000002,0.21750000000000003,0.9999999999999999,0.30980861244019137,0.0,0.0,0.4266666666666667,0.380952380952381,0.57,-1.16,0.7549530761209593,0.5396246089676747,0.0,0.0,1,0,1
4,2,4,0,0.48750000000000004,0.28500000000000014,0.5610047846889952,0.7129186602870813,0.0,0.0,0.32,0.24761904761904763,-0.467,-0.147,0.6235662148070907,0.5364963503649636,0.0,0.0,0,1,1
5,6,11,0,0.9550000000000003,0.55,0.4832535885167464,0.5227272727272727,0.0,0.0,0.52,0.5047619047619049,0.509,0.632,0.7580813347236706,0.9562043795620438,0.0,0.0,0,1,1
6,2,1,0,0.48750000000000004,0.28500000000000014,0.5610047846889952,0.5454545454545454,0.0,0.0,0.13333333333333336,0.4571428571428572,-0.467,0.342,0.6235662148070907,0.5396246089676747,0.0,0.0,0,0,1
7,0,7,1,0.9625000000000001,0.3350000000000002,0.5143540669856459,0.9999999999999999,0.0,0.0,0.5066666666666666,0.49523809523809526,-0.192,0.57,0.7090719499478624,0.7549530761209593,0.0,0.0,1,0,0
8,2,11,1,0.48750000000000004,0.55,0.5610047846889952,0.5227272727272727,0.0,0.0,0.5733333333333335,0.6952380952380953,-0.467,0.632,0.6235662148070907,0.9562043795620438,0.0,0.0,0,0,1
9,6,7,1,0.9550000000000003,0.3350000000000002,0.4832535885167464,0.9999999999999999,0.0,0.0,0.6000000000000001,0.37142857142857144,0.509,0.57,0.7580813347236706,0.7549530761209593,0.0,0.0,0,0,0
10,9,11,1,0.21750000000000003,0.55,0.30980861244019137,0.5227272727272727,0.0,0.0,0.56,0.4285714285714286,-1.16,0.632,0.5396246089676747,0.9562043795620438,0.0,0.0,1,0,1
11,4,0,0,0.28500000000000014,0.9625000000000001,0.7129186602870813,0.5143540669856459,0.0,0.0,0.6133333333333333,0.4285714285714286,-0.147,-0.192,0.5364963503649636,0.7090719499478624,0.0,0.0,0,1,1
12,7,2,1,0.3350000000000002,0.48750000000000004,0.9999999999999999,0.5610047846889952,0.0,0.0,0.16000000000000003,0.5714285714285715,0.57,-0.467,0.7549530761209593,0.6235662148070907,0.0,0.0,1,0,1
13,1,6,0,0.28500000000000014,0.9550000000000003,0.5454545454545454,0.4832535885167464,0.0,0.0,0.4000000000000001,0.5238095238095238,0.342,0.509,0.5396246089676747,0.7580813347236706,0.0,0.0,0,0,1
14,0,9,0,0.9625000000000001,0.21750000000000003,0.5143540669856459,0.30980861244019137,0.0,0.0,0.28,0.4285714285714286,-0.192,-1.16,0.7090719499478624,0.5396246089676747,0.0,0.0,0,1,0
15,4,7,0,0.28500000000000014,0.3350000000000002,0.7129186602870813,0.9999999999999999,0.0,0.0,0.3333333333333333,0.36190476190476195,-0.147,0.57,0.5364963503649636,0.7549530761209593,0.0,0.0,1,0,1
16,1,9,1,0.28500000000000014,0.21750000000000003,0.5454545454545454,0.30980861244019137,0.0,0.0,0.5733333333333335,0.5238095238095238,0.342,-1.16,0.5396246089676747,0.5396246089676747,0.0,0.0,0,0,0
17,2,6,1,0.48750000000000004,0.9550000000000003,0.5610047846889952,0.4832535885167464,0.0,0.0,0.46666666666666673,0.39047619047619053,-0.467,0.509,0.6235662148070907,0.7580813347236706,0.0,0.0,0,0,1
18,11,4,0,0.55,0.28500000000000014,0.5227272727272727,0.7129186602870813,0.0,0.0,0.4000000000000001,0.48571428571428577,0.632,-0.147,0.9562043795620438,0.5364963503649636,0.0,0.0,1,0,0
19,0,1,0,0.9625000000000001,0.28500000000000014,0.5143540669856459,0.5454545454545454,0.0,0.0,0.4266666666666667,0.6095238095238096,-0.192,0.342,0.7090719499478624,0.5396246089676747,0.0,0.0,1,0,1
20,6,4,0,0.9550000000000003,0.28500000000000014,0.4832535885167464,0.7129186602870813,0.0,0.0,0.34666666666666673,0.40952380952380957,0.509,-0.147,0.7580813347236706,0.5364963503649636,0.0,0.0,0,0,0
21,9,2,1,0.21750000000000003,0.48750000000000004,0.30980861244019137,0.5610047846889952,0.0,0.0,0.4533333333333333,0.29523809523809524,-1.16,-0.467,0.5396246089676747,0.6235662148070907,0.0,0.0,1,0,0
22,7,1,1,0.3350000000000002,0.28500000000000014,0.9999999999999999,0.5454545454545454,0.0,0.0,0.46666666666666673,0.3523809523809524,0.57,0.342,0.7549530761209593,0.5396246089676747,0.0,0.0,1,0,0
23,0,11,0,0.9625000000000001,0.55,0.5143540669856459,0.5227272727272727,0.0,0.0,0.3066666666666667,0.4190476190476191,-0.192,0.632,0.7090719499478624,0.9562043795620438,0.0,0.0,0,1,1
24,9,6,1,0.21750000000000003,0.9550000000000003,0.30980861244019137,0.4832535885167464,0.0,0.0,0.14666666666666667,0.49523809523809526,-1.16,0.509,0.5396246089676747,0.7580813347236706,0.0,0.0,1,0,1
25,0,2,1,0.9625000000000001,0.48750000000000004,0.5143540669856459,0.5610047846889952,0.0,0.0,0.25333333333333335,0.4761904761904762,-0.192,-0.467,0.7090719499478624,0.6235662148070907,0.0,0.0,1,0,1
26,11,7,1,0.55,0.3350000000000002,0.5227272727272727,0.9999999999999999,0.0,0.0,0.44,0.3238095238095238,0.632,0.57,0.9562043795620438,0.7549530761209593,0.0,0.0,0,1,1
